day,time_slot,is_festival,is_holiday,location_type,city_type,nearby_transport,upcoming_festival,crowd_percentage
Friday,10:00-10:30,No,No,Market,Tier I,Railway Station,Yes,0.6852011846158683
Sunday,05:00-05:30,Yes,No,Office Area,Tier II,Bus Stand,No,0.46089819304327373
Wednesday,05:00-05:30,Yes,No,Office Area,Tier I,None,Yes,0.9018245734440599
Thursday,18:00-18:30,No,Yes,Residential,Tier I,Bus Stand,Yes,0.8532498134909294
Friday,22:30-23:00,No,Yes,Residential,Tier II,Railway Station,Yes,0.1762818263196635
Wednesday,02:00-02:30,Yes,Yes,Office Area,Tier II,None,Yes,0.7158420410880381
Wednesday,09:30-10:00,Yes,Yes,Office Area,Tier I,Railway Station,Yes,0.08271894311590666
Tuesday,13:30-14:00,Yes,No,Residential,Tier III,Airport,No,0.8705508587425309
Saturday,05:00-05:30,No,No,Market,Tier I,Bus Stand,No,0.4491035541184025
Thursday,06:30-07:00,No,Yes,Residential,Tier I,None,Yes,0.23079552165912054
Tuesday,07:30-08:00,No,No,Office Area,Tier I,Railway Station,No,0.44266993030451285
Tuesday,19:00-19:30,No,No,Commercial,Tier III,Airport,Yes,0.4436138375925437
Friday,20:30-21:00,Yes,No,Market,Tier II,Bus Stand,Yes,0.8371133188030564
Wednesday,12:00-12:30,No,Yes,Residential,Tier III,Railway Station,Yes,0.3295580391233738
Thursday,21:00-21:30,No,Yes,Commercial,Tier I,Bus Stand,No,0.7877698909762952
Thursday,08:00-08:30,No,Yes,Commercial,Tier II,Bus Stand,Yes,0.15211576347857003
Tuesday,21:00-21:30,Yes,Yes,Office Area,Tier I,None,Yes,0.06368970809771402
Saturday,00:00-00:30,Yes,No,Residential,Tier II,Railway Station,No,0.5730155566155098
Sunday,20:00-20:30,Yes,No,Commercial,Tier III,Railway Station,Yes,0.2530669578471163
Wednesday,09:00-09:30,Yes,No,Office Area,Tier II,Airport,No,0.9003025768189689
Saturday,23:30-00:00,Yes,Yes,Residential,Tier III,None,Yes,0.05975802594013002
Thursday,10:00-10:30,Yes,Yes,Residential,Tier II,Railway Station,No,0.13805755980997003
Tuesday,12:00-12:30,Yes,Yes,Market,Tier III,Airport,No,0.7481182189209515
Sunday,04:00-04:30,No,Yes,Residential,Tier III,Bus Stand,Yes,0.3356137900241196
Monday,11:30-12:00,Yes,No,Office Area,Tier II,None,Yes,0.22001029520349014
Thursday,22:30-23:00,No,No,Commercial,Tier III,Railway Station,No,0.14802596891247322
Saturday,19:30-20:00,Yes,Yes,Market,Tier III,Bus Stand,Yes,0.9883223840540746
Sunday,05:00-05:30,Yes,Yes,Market,Tier II,Bus Stand,No,0.29799520911584587
Saturday,15:30-16:00,Yes,No,Office Area,Tier III,Airport,Yes,0.8197716587355512
Saturday,09:00-09:30,No,No,Market,Tier II,Railway Station,No,0.4066083345975098
Friday,07:30-08:00,No,No,Market,Tier II,None,Yes,0.6315376550641557
Sunday,00:00-00:30,Yes,Yes,Commercial,Tier I,Railway Station,No,0.7932641251070682
Saturday,14:30-15:00,No,No,Market,Tier II,Airport,Yes,0.5001316889659254
Friday,21:00-21:30,No,Yes,Residential,Tier II,Bus Stand,Yes,0.21464816129186715
Friday,05:00-05:30,Yes,Yes,Market,Tier II,Bus Stand,Yes,0.3179223584802363
Tuesday,11:00-11:30,Yes,Yes,Office Area,Tier I,Railway Station,No,0.09524300552665466
Wednesday,02:30-03:00,No,Yes,Commercial,Tier II,Railway Station,Yes,0.5196303953390932
Tuesday,11:00-11:30,Yes,No,Office Area,Tier III,Bus Stand,Yes,0.34581255987130377
Sunday,22:00-22:30,Yes,Yes,Commercial,Tier II,Railway Station,Yes,0.28374111212390807
Thursday,05:00-05:30,Yes,Yes,Residential,Tier II,Railway Station,No,0.2344534642607189
Friday,07:30-08:00,No,No,Office Area,Tier II,Airport,Yes,0.5458009391555405
Saturday,22:30-23:00,Yes,Yes,Office Area,Tier III,Bus Stand,Yes,0.2767655533292749
Thursday,02:30-03:00,No,No,Residential,Tier I,None,No,0.361763374605214
Tuesday,11:30-12:00,No,No,Market,Tier I,None,No,0.7431019358343978
Tuesday,02:30-03:00,No,Yes,Commercial,Tier I,Bus Stand,Yes,0.9768432796718289
Saturday,04:30-05:00,Yes,Yes,Residential,Tier III,None,Yes,0.6007673960610749
Friday,14:00-14:30,No,No,Residential,Tier III,None,Yes,0.7768151086592081
Tuesday,08:30-09:00,Yes,No,Commercial,Tier I,Bus Stand,Yes,0.32514774063628693
Saturday,15:00-15:30,Yes,Yes,Office Area,Tier I,Railway Station,No,0.05207750852314663
Monday,11:00-11:30,Yes,Yes,Market,Tier III,Bus Stand,No,0.3449571461057007
Friday,03:30-04:00,Yes,Yes,Commercial,Tier III,Airport,No,0.7669938319416147
Sunday,09:30-10:00,Yes,Yes,Commercial,Tier III,None,No,0.3460877659583874
Thursday,23:00-23:30,No,No,Residential,Tier II,Railway Station,Yes,0.2605712466527965
Thursday,08:00-08:30,No,Yes,Office Area,Tier II,Railway Station,No,0.047362952250369794
Monday,14:00-14:30,No,Yes,Office Area,Tier III,Airport,Yes,0.27345617068445705
Thursday,12:30-13:00,No,No,Commercial,Tier III,Airport,No,0.8844047560119034
Friday,18:30-19:00,Yes,No,Commercial,Tier III,Airport,Yes,0.6243576493874534
Saturday,08:00-08:30,No,Yes,Commercial,Tier I,Airport,Yes,0.6590939371575325
Sunday,06:30-07:00,Yes,Yes,Market,Tier III,Railway Station,Yes,0.07659569824127388
Wednesday,15:30-16:00,No,Yes,Commercial,Tier I,None,No,0.13276961211548266
Monday,06:00-06:30,No,No,Market,Tier II,None,No,0.2639415936817604
Monday,01:00-01:30,Yes,No,Office Area,Tier III,Bus Stand,No,0.8216418144397821
Friday,12:00-12:30,Yes,Yes,Commercial,Tier III,None,No,0.07471853592231303
Saturday,06:30-07:00,Yes,Yes,Residential,Tier I,Bus Stand,No,0.32505806557394534
Thursday,18:30-19:00,Yes,Yes,Residential,Tier II,Railway Station,No,0.5094735970367179
Sunday,05:00-05:30,No,No,Market,Tier II,Railway Station,No,0.020822769936132635
Monday,23:30-00:00,No,Yes,Office Area,Tier III,Airport,No,0.4672883055297087
Monday,03:30-04:00,No,Yes,Commercial,Tier II,Airport,No,0.6054501411114559
Saturday,02:30-03:00,Yes,Yes,Commercial,Tier I,None,Yes,0.5629897634748827
Tuesday,21:30-22:00,Yes,Yes,Market,Tier II,None,No,0.004933092190371413
Friday,22:00-22:30,Yes,Yes,Commercial,Tier I,Bus Stand,Yes,0.7738624202697605
Saturday,01:30-02:00,No,No,Commercial,Tier II,Airport,Yes,0.9645820376295603
Monday,05:00-05:30,No,Yes,Commercial,Tier III,Bus Stand,No,0.9618382294175515
Friday,02:30-03:00,Yes,Yes,Commercial,Tier I,None,No,0.2766416549319306
Sunday,20:00-20:30,No,No,Residential,Tier I,None,Yes,0.5848394945062773
Friday,19:00-19:30,No,Yes,Commercial,Tier III,None,Yes,0.33023119295765513
Tuesday,21:00-21:30,No,Yes,Residential,Tier III,Railway Station,Yes,0.41202770549827017
Thursday,09:00-09:30,No,No,Market,Tier I,Airport,No,0.8165867565585179
Friday,16:30-17:00,Yes,No,Market,Tier II,Railway Station,Yes,0.325049132013541
Friday,10:00-10:30,No,Yes,Commercial,Tier III,Airport,No,0.02161107362907666
Tuesday,01:00-01:30,No,No,Office Area,Tier I,Railway Station,Yes,0.625409049885133
Sunday,05:00-05:30,No,No,Residential,Tier III,Railway Station,Yes,0.6774392748614849
Thursday,01:30-02:00,No,No,Market,Tier II,Airport,No,0.15558619131470508
Friday,14:30-15:00,No,Yes,Commercial,Tier II,Airport,Yes,0.6662573036178144
Monday,03:30-04:00,No,No,Residential,Tier II,Bus Stand,No,0.857207809170012
Thursday,18:00-18:30,No,Yes,Residential,Tier III,Railway Station,No,0.6660572333853094
Thursday,09:00-09:30,Yes,Yes,Market,Tier III,Airport,Yes,0.7680612338376743
Thursday,18:00-18:30,Yes,Yes,Office Area,Tier II,Airport,Yes,0.03846595747852999
Thursday,21:30-22:00,Yes,Yes,Office Area,Tier III,None,No,0.8281996045250308
Friday,10:00-10:30,No,Yes,Market,Tier I,Bus Stand,Yes,0.9959341647118698
Sunday,10:00-10:30,Yes,No,Office Area,Tier I,Railway Station,No,0.6327682241682013
Wednesday,01:00-01:30,No,No,Commercial,Tier I,Railway Station,No,0.5740683543170284
Wednesday,11:30-12:00,No,Yes,Commercial,Tier I,Airport,No,0.2062116015125689
Monday,00:30-01:00,Yes,No,Residential,Tier I,Railway Station,Yes,0.859398794272132
Monday,22:00-22:30,No,Yes,Market,Tier III,Bus Stand,Yes,0.6346723168028461
Friday,16:30-17:00,Yes,No,Office Area,Tier II,Railway Station,Yes,0.37399258709539507
Thursday,06:00-06:30,No,No,Residential,Tier I,None,Yes,0.6504895513317059
Friday,00:30-01:00,No,No,Market,Tier III,Railway Station,No,0.08807500211452068
Sunday,12:00-12:30,No,No,Office Area,Tier II,Railway Station,Yes,0.7420789502985772
Sunday,01:00-01:30,No,Yes,Residential,Tier III,Bus Stand,No,0.11555991182101155
Tuesday,21:00-21:30,No,No,Commercial,Tier II,None,No,0.8163953004291277
Wednesday,05:00-05:30,No,Yes,Office Area,Tier II,Railway Station,Yes,0.17527865691946054
Sunday,00:00-00:30,No,Yes,Residential,Tier I,Airport,No,0.19823961629317466
Thursday,23:00-23:30,No,No,Market,Tier II,Bus Stand,No,0.34023076457214985
Thursday,21:30-22:00,No,No,Commercial,Tier I,Railway Station,Yes,0.45689874558727184
Monday,04:00-04:30,No,Yes,Market,Tier II,Airport,Yes,0.28618139981119595
Sunday,03:30-04:00,Yes,No,Commercial,Tier II,Airport,No,0.8618666934987306
Thursday,21:00-21:30,Yes,Yes,Residential,Tier I,Railway Station,No,0.9243169336913167
Monday,01:30-02:00,No,Yes,Office Area,Tier II,Airport,No,0.37479551553646573
Tuesday,17:30-18:00,No,No,Market,Tier III,None,No,0.9791788662724444
Saturday,01:00-01:30,Yes,No,Office Area,Tier I,Airport,No,0.3844172397428425
Wednesday,01:00-01:30,Yes,No,Commercial,Tier II,Bus Stand,Yes,0.4276375302272567
Monday,07:00-07:30,No,No,Commercial,Tier I,Airport,Yes,0.07888645046555809
Tuesday,09:30-10:00,Yes,No,Commercial,Tier II,None,Yes,0.20190202671872792
Saturday,10:00-10:30,No,No,Office Area,Tier I,Railway Station,Yes,0.12403540006676383
Tuesday,05:00-05:30,Yes,Yes,Residential,Tier III,Airport,Yes,0.6597715181446552
Monday,02:30-03:00,No,No,Residential,Tier II,Bus Stand,Yes,0.1518714486903231
Saturday,14:00-14:30,No,No,Market,Tier II,None,No,0.7973416223091865
Wednesday,09:00-09:30,No,Yes,Commercial,Tier I,None,No,0.5386985224690135
Friday,02:30-03:00,Yes,No,Market,Tier I,Airport,Yes,0.0013842770630118073
Friday,15:30-16:00,Yes,No,Office Area,Tier I,Railway Station,Yes,0.9661342721075626
Friday,07:00-07:30,Yes,Yes,Residential,Tier I,Bus Stand,Yes,0.15054261276159608
Tuesday,00:30-01:00,Yes,No,Commercial,Tier I,Railway Station,No,0.06932961166985985
Tuesday,07:00-07:30,No,Yes,Market,Tier I,Railway Station,No,0.3490201351026464
Sunday,11:30-12:00,Yes,Yes,Residential,Tier I,Airport,No,0.7315222023159651
Sunday,22:00-22:30,No,No,Market,Tier III,Airport,Yes,0.7170799807556086
Thursday,04:00-04:30,Yes,Yes,Residential,Tier III,Airport,No,0.8214420151982643
Saturday,22:00-22:30,Yes,Yes,Commercial,Tier II,Airport,No,0.43835901563622703
Saturday,14:30-15:00,Yes,No,Residential,Tier II,None,No,0.8476280878039824
Tuesday,10:00-10:30,Yes,Yes,Office Area,Tier II,Railway Station,Yes,0.8375292905518715
Friday,10:00-10:30,Yes,No,Commercial,Tier II,None,No,0.7973398281166889
Friday,15:30-16:00,No,No,Residential,Tier I,Bus Stand,Yes,0.9047851601869314
Saturday,21:00-21:30,Yes,No,Office Area,Tier I,Airport,Yes,0.1281765471900419
Tuesday,06:00-06:30,Yes,No,Market,Tier III,Airport,Yes,0.43522758985057985
Monday,20:30-21:00,No,Yes,Office Area,Tier II,Airport,Yes,0.7048075928478321
Monday,07:00-07:30,No,No,Commercial,Tier II,Bus Stand,No,0.837607148487048
Wednesday,12:30-13:00,Yes,Yes,Market,Tier II,None,No,0.6114106269326016
Thursday,14:30-15:00,Yes,No,Market,Tier II,Railway Station,No,0.02574091728558503
Tuesday,15:00-15:30,Yes,Yes,Commercial,Tier III,Bus Stand,No,0.6094017661179216
Friday,19:30-20:00,Yes,Yes,Office Area,Tier III,None,Yes,0.7134311224795065
Sunday,03:30-04:00,No,No,Commercial,Tier II,Airport,Yes,0.8335885241855223
Wednesday,19:30-20:00,No,Yes,Office Area,Tier II,Railway Station,No,0.15228918034454475
Wednesday,17:00-17:30,No,Yes,Commercial,Tier III,Bus Stand,No,0.48470793800935885
Saturday,14:00-14:30,Yes,Yes,Office Area,Tier II,Airport,No,0.7305431926891897
Tuesday,18:30-19:00,No,No,Residential,Tier I,Airport,No,0.01630194463615342
Monday,06:30-07:00,No,No,Market,Tier III,Airport,No,0.9800845320005407
Wednesday,00:30-01:00,Yes,No,Residential,Tier II,Airport,No,0.11364223382260996
Thursday,11:30-12:00,No,Yes,Office Area,Tier III,Railway Station,Yes,0.040625614830510526
Thursday,05:30-06:00,Yes,No,Residential,Tier II,Railway Station,No,0.6099332344675921
Tuesday,18:30-19:00,No,No,Market,Tier II,Bus Stand,No,0.5443081676214202
Saturday,08:00-08:30,No,Yes,Commercial,Tier III,None,Yes,0.046429205626372316
Sunday,01:00-01:30,No,No,Market,Tier III,Railway Station,Yes,0.021811600209473925
Sunday,13:00-13:30,No,No,Office Area,Tier I,Airport,Yes,0.22079899613571297
Friday,16:00-16:30,Yes,Yes,Residential,Tier III,Airport,Yes,0.5651867809513612
Tuesday,16:00-16:30,Yes,No,Market,Tier I,Airport,No,0.040351685997728204
Tuesday,03:30-04:00,No,No,Commercial,Tier III,Airport,No,0.3243851791558935
Wednesday,23:30-00:00,No,No,Residential,Tier III,None,Yes,0.6481126766847104
Wednesday,18:00-18:30,No,No,Market,Tier II,Airport,No,0.9347960649367897
Thursday,16:30-17:00,No,Yes,Office Area,Tier III,None,No,0.12186151521342414
Friday,17:00-17:30,Yes,Yes,Office Area,Tier II,Airport,No,0.6955447183369575
Tuesday,14:00-14:30,No,No,Office Area,Tier III,Bus Stand,Yes,0.3135198386719227
Tuesday,05:00-05:30,Yes,Yes,Commercial,Tier III,None,No,0.13107249012746125
Sunday,04:30-05:00,Yes,Yes,Office Area,Tier II,Airport,Yes,0.2432491777684389
Saturday,08:30-09:00,Yes,No,Market,Tier II,Airport,No,0.6955491533983782
Sunday,13:00-13:30,Yes,Yes,Market,Tier III,None,Yes,0.8824725428773872
Thursday,21:30-22:00,No,No,Market,Tier III,None,Yes,0.5887051440024094
Saturday,09:30-10:00,No,No,Residential,Tier III,Bus Stand,No,0.18833535473905294
Thursday,08:00-08:30,No,Yes,Office Area,Tier III,None,No,0.5571599861564972
Friday,11:30-12:00,Yes,Yes,Office Area,Tier III,None,No,0.4217132975346184
Monday,10:30-11:00,No,Yes,Market,Tier III,Railway Station,No,0.2748578805585623
Thursday,14:00-14:30,No,No,Residential,Tier II,Railway Station,No,0.15753856320057358
Thursday,08:30-09:00,No,Yes,Residential,Tier II,None,Yes,0.6159632466272463
Monday,19:30-20:00,Yes,Yes,Residential,Tier II,Bus Stand,Yes,0.07107409403085918
Friday,23:00-23:30,No,Yes,Office Area,Tier III,Airport,Yes,0.05193598560210155
Sunday,06:00-06:30,Yes,No,Market,Tier II,None,No,0.5722420923161807
Saturday,03:30-04:00,No,Yes,Market,Tier III,Railway Station,Yes,0.03201746307827713
Saturday,11:00-11:30,Yes,Yes,Commercial,Tier II,Railway Station,No,0.183856952058994
Monday,12:00-12:30,No,No,Office Area,Tier I,None,Yes,0.012361487753201672
Saturday,08:00-08:30,Yes,No,Market,Tier II,Bus Stand,No,0.11780890101173758
Sunday,05:30-06:00,Yes,Yes,Residential,Tier I,Airport,No,0.7435032346827293
Friday,13:30-14:00,Yes,No,Residential,Tier II,None,No,0.9199684854629254
Friday,17:00-17:30,Yes,No,Office Area,Tier I,Bus Stand,No,0.059703765862471725
Friday,11:30-12:00,Yes,No,Residential,Tier III,Railway Station,No,0.44905357651322364
Saturday,21:00-21:30,Yes,No,Market,Tier I,Bus Stand,No,0.04977872681378581
Tuesday,14:00-14:30,Yes,Yes,Office Area,Tier II,Airport,Yes,0.15780947132355172
Wednesday,22:00-22:30,Yes,Yes,Market,Tier I,Bus Stand,No,0.08430309575588746
Tuesday,12:00-12:30,No,Yes,Commercial,Tier III,Bus Stand,Yes,0.7397983698131717
Monday,02:30-03:00,No,Yes,Market,Tier III,Airport,Yes,0.4208195053740521
Friday,05:00-05:30,No,Yes,Office Area,Tier II,Airport,No,0.041796528881636874
Saturday,07:30-08:00,No,No,Commercial,Tier III,Bus Stand,No,0.3680800271144842
Monday,20:30-21:00,Yes,Yes,Residential,Tier I,Bus Stand,No,0.6037174208567501
Monday,13:00-13:30,Yes,No,Residential,Tier III,Airport,No,0.8620404106785376
Friday,20:00-20:30,Yes,No,Residential,Tier II,Railway Station,Yes,0.9447583203834167
Tuesday,18:00-18:30,Yes,Yes,Residential,Tier III,None,Yes,0.3620113882351357
Tuesday,18:00-18:30,Yes,No,Market,Tier II,None,Yes,0.4701297438950207
Tuesday,08:30-09:00,Yes,Yes,Market,Tier III,Bus Stand,No,0.6369711666513548
Sunday,10:00-10:30,Yes,Yes,Residential,Tier I,None,No,0.5438652210656508
Wednesday,23:00-23:30,No,Yes,Office Area,Tier III,Airport,Yes,0.34971377435719997
Saturday,23:00-23:30,Yes,No,Market,Tier I,Airport,Yes,0.42891965441041857
Tuesday,18:30-19:00,Yes,Yes,Commercial,Tier III,None,No,0.11649568526535004
Tuesday,06:00-06:30,Yes,Yes,Commercial,Tier I,Bus Stand,No,0.24259782928839724
Monday,01:30-02:00,No,No,Residential,Tier I,Airport,No,0.33632489075454997
Friday,19:00-19:30,Yes,No,Commercial,Tier II,Railway Station,Yes,0.09898470108286561
Wednesday,06:30-07:00,No,No,Office Area,Tier III,Bus Stand,No,0.033545253907864
Monday,12:30-13:00,Yes,No,Market,Tier II,Airport,Yes,0.8332831122195554
Friday,09:00-09:30,Yes,No,Office Area,Tier III,Railway Station,No,0.03484444760880623
Thursday,23:30-00:00,Yes,No,Commercial,Tier II,Bus Stand,Yes,0.8987664031098258
Wednesday,20:00-20:30,Yes,No,Residential,Tier III,Airport,Yes,0.879587961924237
Friday,09:30-10:00,Yes,No,Office Area,Tier II,Railway Station,No,0.6950342372913597
Monday,07:30-08:00,Yes,No,Commercial,Tier I,None,No,0.4304333439981496
Saturday,03:00-03:30,Yes,No,Market,Tier I,Railway Station,No,0.01866564149690242
Tuesday,16:00-16:30,No,Yes,Office Area,Tier III,Bus Stand,Yes,0.4369641955678426
Thursday,00:00-00:30,No,No,Residential,Tier I,Airport,No,0.16167236691389542
Monday,16:00-16:30,Yes,No,Residential,Tier II,None,Yes,0.6373055227456681
Wednesday,20:00-20:30,Yes,No,Residential,Tier II,Airport,Yes,0.6934078369199269
Wednesday,01:30-02:00,No,Yes,Office Area,Tier I,Bus Stand,Yes,0.8686132493981696
Monday,15:00-15:30,Yes,Yes,Office Area,Tier I,Railway Station,No,0.006516504572211201
Saturday,06:00-06:30,No,Yes,Market,Tier I,None,No,0.7885127858244022
Friday,05:30-06:00,Yes,No,Commercial,Tier II,None,No,0.9301014498740949
Friday,16:00-16:30,No,Yes,Market,Tier II,None,Yes,0.0002621627675252203
Wednesday,05:00-05:30,Yes,No,Office Area,Tier III,Railway Station,Yes,0.07656622670460089
Monday,10:00-10:30,No,No,Office Area,Tier I,None,No,0.8167397250600549
Tuesday,23:30-00:00,Yes,Yes,Market,Tier I,None,Yes,0.6460317713420808
Tuesday,21:00-21:30,No,No,Office Area,Tier I,Railway Station,Yes,0.4213400090813445
Thursday,20:30-21:00,Yes,No,Residential,Tier III,None,No,0.038832905015166674
Saturday,03:30-04:00,No,No,Residential,Tier II,None,No,0.30686323719001374
Saturday,01:00-01:30,Yes,Yes,Commercial,Tier III,None,Yes,0.4641978830957011
Tuesday,21:00-21:30,No,Yes,Commercial,Tier II,None,No,0.8047746401725075
Wednesday,23:30-00:00,No,Yes,Office Area,Tier II,Bus Stand,Yes,0.5528207027161254
Friday,03:00-03:30,Yes,No,Office Area,Tier II,Airport,No,0.7350326572660097
Tuesday,15:30-16:00,No,No,Office Area,Tier I,Railway Station,No,0.9992262061561724
Wednesday,03:30-04:00,Yes,No,Commercial,Tier I,Airport,No,0.30617080895280746
Thursday,00:00-00:30,No,Yes,Commercial,Tier I,Railway Station,No,0.05324737850378436
Friday,10:30-11:00,No,No,Office Area,Tier III,None,No,0.6860990676023268
Tuesday,20:00-20:30,Yes,No,Market,Tier I,Bus Stand,Yes,0.6447054193199979
Tuesday,20:00-20:30,Yes,Yes,Commercial,Tier I,None,Yes,0.7220806787971203
Monday,03:00-03:30,Yes,Yes,Residential,Tier III,Bus Stand,No,0.03229684443856273
Wednesday,08:00-08:30,Yes,No,Market,Tier I,Railway Station,Yes,0.9653388235634285
Tuesday,07:00-07:30,No,Yes,Commercial,Tier II,Bus Stand,Yes,0.9209681642074106
Saturday,08:30-09:00,No,No,Market,Tier I,None,No,0.19293693153587954
Sunday,10:30-11:00,Yes,No,Commercial,Tier I,Airport,Yes,0.6020479719028278
Friday,02:00-02:30,No,No,Commercial,Tier III,Bus Stand,Yes,0.7222714232604843
Tuesday,23:30-00:00,Yes,No,Office Area,Tier II,Airport,Yes,0.7010613220228687
Saturday,19:00-19:30,Yes,Yes,Office Area,Tier II,Bus Stand,No,0.8847404945534375
Tuesday,13:30-14:00,Yes,Yes,Office Area,Tier II,Bus Stand,Yes,0.8109769731768347
Sunday,01:30-02:00,Yes,Yes,Commercial,Tier I,Airport,Yes,0.8108634763580379
Saturday,18:30-19:00,No,Yes,Market,Tier III,None,No,0.19143129832743933
Wednesday,10:00-10:30,No,No,Commercial,Tier II,Bus Stand,No,0.5166113050775067
Wednesday,06:30-07:00,Yes,No,Residential,Tier II,None,Yes,0.488565581657773
Thursday,17:00-17:30,Yes,No,Office Area,Tier III,Railway Station,Yes,0.30928918134370786
Sunday,13:00-13:30,No,Yes,Office Area,Tier I,Airport,No,0.28098707063265815
Thursday,15:00-15:30,Yes,Yes,Commercial,Tier I,None,Yes,0.5887393408861176
Sunday,20:00-20:30,No,No,Residential,Tier I,None,No,0.8466505369536129
Saturday,13:30-14:00,Yes,Yes,Commercial,Tier III,Railway Station,Yes,0.7242977439624652
Monday,18:00-18:30,No,No,Commercial,Tier III,Airport,No,0.8429117061619001
Friday,03:30-04:00,Yes,Yes,Commercial,Tier III,None,No,0.31836238714996756
Friday,17:00-17:30,No,Yes,Office Area,Tier II,None,Yes,0.5235765942166961
Sunday,04:30-05:00,No,Yes,Commercial,Tier I,Railway Station,Yes,0.5160879096050122
Wednesday,04:30-05:00,No,No,Residential,Tier II,Airport,Yes,0.5362246685912708
Friday,07:30-08:00,Yes,Yes,Office Area,Tier I,Bus Stand,No,0.5350273437402108
Thursday,13:00-13:30,Yes,No,Office Area,Tier I,None,No,0.1341916887469713
Friday,21:00-21:30,Yes,No,Office Area,Tier II,Bus Stand,No,0.4891406624073683
Tuesday,20:30-21:00,Yes,Yes,Residential,Tier II,None,No,0.5354109820300307
Tuesday,12:00-12:30,No,No,Market,Tier I,Airport,No,0.7243734529316849
Monday,08:30-09:00,Yes,Yes,Commercial,Tier I,Airport,Yes,0.6017881904742363
Wednesday,02:30-03:00,No,No,Commercial,Tier II,Airport,Yes,0.410186398570903
Monday,15:30-16:00,No,Yes,Market,Tier II,Bus Stand,Yes,0.9844443207820456
Monday,18:00-18:30,No,No,Residential,Tier II,None,Yes,0.8676898249932936
Saturday,16:00-16:30,Yes,No,Office Area,Tier I,Airport,Yes,0.3424591284889842
Sunday,05:00-05:30,Yes,Yes,Residential,Tier III,Railway Station,No,0.19274673394140207
Tuesday,23:30-00:00,No,Yes,Commercial,Tier II,None,No,0.7644739650244624
Wednesday,07:00-07:30,No,No,Office Area,Tier II,None,Yes,0.27964792894049895
Monday,13:00-13:30,Yes,No,Office Area,Tier III,Bus Stand,No,0.6470740129302182
Wednesday,12:30-13:00,No,Yes,Residential,Tier I,Airport,Yes,0.8431453715413995
Friday,01:30-02:00,Yes,No,Commercial,Tier II,Bus Stand,No,0.09974642396835809
Monday,10:00-10:30,No,Yes,Market,Tier I,Bus Stand,No,0.05345031009544421
Saturday,21:00-21:30,No,No,Commercial,Tier III,Bus Stand,No,0.8434831674417395
Monday,03:00-03:30,No,Yes,Office Area,Tier I,None,No,0.9613521973110538
Monday,04:00-04:30,No,Yes,Commercial,Tier II,Airport,No,0.5777306675950332
Tuesday,20:30-21:00,No,No,Commercial,Tier III,Railway Station,No,0.261025822567333
Friday,00:30-01:00,Yes,No,Market,Tier I,Airport,Yes,0.7140764286333713
Friday,02:00-02:30,No,Yes,Commercial,Tier II,Bus Stand,Yes,0.44054747775928793
Wednesday,13:00-13:30,No,Yes,Commercial,Tier III,None,Yes,0.8033001880853117
Tuesday,12:00-12:30,Yes,Yes,Office Area,Tier II,Bus Stand,No,0.637018608453611
Thursday,12:00-12:30,Yes,No,Residential,Tier II,Bus Stand,Yes,0.4470046860767347
Sunday,04:30-05:00,No,Yes,Office Area,Tier I,Airport,Yes,0.08864017626055443
Sunday,16:30-17:00,Yes,No,Residential,Tier II,Railway Station,Yes,0.7220900287936489
Thursday,01:00-01:30,Yes,Yes,Residential,Tier III,None,Yes,0.008613869179120992
Monday,00:30-01:00,No,Yes,Commercial,Tier I,Bus Stand,Yes,0.6007926324770055
Tuesday,01:30-02:00,Yes,Yes,Residential,Tier II,Bus Stand,No,0.45236738047222125
Tuesday,14:30-15:00,Yes,Yes,Office Area,Tier I,Airport,No,0.5373443441522152
Wednesday,02:00-02:30,No,Yes,Market,Tier I,Railway Station,No,0.1336951848976019
Wednesday,07:00-07:30,Yes,No,Market,Tier III,None,No,0.5177649211703962
Wednesday,21:00-21:30,Yes,Yes,Commercial,Tier II,Airport,No,0.9753741198947696
Tuesday,10:30-11:00,Yes,No,Commercial,Tier II,None,Yes,0.018687545969970798
Tuesday,21:30-22:00,No,Yes,Market,Tier I,None,No,0.7837826692803411
Sunday,08:00-08:30,No,Yes,Residential,Tier II,Airport,Yes,0.9412568944153745
Wednesday,03:00-03:30,No,No,Market,Tier I,Railway Station,No,0.06521873232882469
Wednesday,19:00-19:30,Yes,Yes,Market,Tier III,Railway Station,No,0.043621118280187776
Sunday,08:00-08:30,No,Yes,Office Area,Tier I,Bus Stand,No,0.2504830490725791
Tuesday,03:30-04:00,No,No,Residential,Tier III,None,No,0.7260502768817662
Monday,01:30-02:00,No,No,Commercial,Tier III,None,No,0.689025061743806
Wednesday,07:30-08:00,No,No,Residential,Tier I,None,No,0.46189875836153016
Monday,09:00-09:30,No,No,Commercial,Tier I,None,Yes,0.8528094262164955
Friday,02:30-03:00,No,Yes,Commercial,Tier III,Airport,No,0.6653380322502556
Thursday,23:00-23:30,No,No,Office Area,Tier II,None,Yes,0.24364609645798696
Saturday,07:30-08:00,Yes,Yes,Residential,Tier I,Bus Stand,No,0.48401169761069407
Friday,05:30-06:00,Yes,No,Residential,Tier I,Airport,Yes,0.36301287252589476
Wednesday,14:30-15:00,Yes,No,Market,Tier I,Railway Station,Yes,0.5060562247607017
Tuesday,18:00-18:30,No,No,Residential,Tier II,Bus Stand,No,0.5261520778800484
Sunday,10:00-10:30,No,Yes,Commercial,Tier III,Railway Station,No,0.14573121690953694
